更新时间: 2025-12-31 00:38:43（北京时间）

更新时间,#genre#
2025-12-31 00:38:43,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
风云足球,http://183.161.175.179:7000/rtp/238.1.79.57:4592$安徽电信
风云剧场,http://183.161.175.179:7000/rtp/238.1.79.62:4632$安徽电信
怀旧剧场,http://183.161.175.179:7000/rtp/238.1.79.61:4624$安徽电信
第一剧场,http://58.48.104.87:8989/rtp/239.69.1.74:10084$湖北电信
第一剧场,http://183.161.175.179:7000/rtp/238.1.79.63:4640$安徽电信
女性时尚,http://183.161.175.179:7000/rtp/238.1.79.55:4576$安徽电信
世界地理,http://58.48.104.87:8989/rtp/239.69.1.91:10186$湖北电信
世界地理,http://182.123.208.170:12345/rtp/225.1.4.183:1232$河南联通
世界地理,http://183.161.175.179:7000/rtp/238.1.79.60:4616$安徽电信
央视台球,http://58.48.104.87:8989/rtp/239.69.1.98:10224$湖北电信
央视台球,http://183.161.175.179:7000/rtp/238.1.79.59:4608$安徽电信
高尔夫网球,http://58.48.104.87:8989/rtp/239.69.1.83:10138$湖北电信
高尔夫网球,http://182.123.208.170:12345/rtp/225.1.4.180:1229$河南联通
高尔夫网球,http://183.161.175.179:7000/rtp/238.1.79.58:4600$安徽电信
央视文化精品,http://183.161.175.179:7000/rtp/238.1.79.54:4568$安徽电信
电视指南,http://183.161.175.179:7000/rtp/238.1.79.53:4560$安徽电信
国学频道,http://182.123.208.170:12345/rtp/225.1.4.196:1311$河南联通
国学频道,http://182.123.208.170:12345/rtp/225.1.4.178:1227$河南联通

卫视频道,#genre#
湖南卫视,http://112.226.186.244:1025/rtp/239.253.254.82:8000$山东联通
湖南卫视,http://123.120.240.126:4022/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://123.120.240.126:4022/rtp/239.3.1.112:3002$北京市联通
湖南卫视,http://123.155.17.197:8888/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://123.155.17.197:8888/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://123.155.17.197:8888/rtp/233.50.202.106:5140$浙江电信
湖南卫视,http://58.48.104.87:8989/rtp/239.254.96.139:8908$湖北电信
湖南卫视,http://180.140.153.3:4022/rtp/239.81.0.110:4056$广西电信
湖南卫视,http://180.140.153.3:4022/rtp/239.81.0.72:4056$广西电信
湖南卫视,http://222.95.12.2:4022/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://182.123.208.170:12345/rtp/225.1.4.82:1111$河南联通
湖南卫视,http://122.234.155.78:55555/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://122.234.155.78:55555/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://122.234.155.78:55555/rtp/233.50.202.106:5140$浙江电信
湖南卫视,http://183.161.175.179:7000/rtp/238.1.78.160:7152$安徽电信
浙江卫视,http://112.226.186.244:1025/rtp/239.253.254.84:8000$山东联通
浙江卫视,http://123.120.240.126:4022/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://123.120.240.126:4022/rtp/239.3.1.114:3004$北京市联通
浙江卫视,http://123.155.17.197:8888/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://123.155.17.197:8888/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://123.155.17.197:8888/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://123.155.17.197:8888/rtp/233.50.202.104:5140$浙江电信
浙江卫视,http://58.48.104.87:8989/rtp/239.254.96.143:8932$湖北电信
浙江卫视,http://180.140.153.3:4022/rtp/239.81.0.108:4056$广西电信
浙江卫视,http://180.140.153.3:4022/rtp/239.81.0.75:4056$广西电信
浙江卫视,http://222.95.12.2:4022/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://182.123.208.170:12345/rtp/225.1.4.84:1113$河南联通
浙江卫视,http://122.234.155.78:55555/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://122.234.155.78:55555/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://122.234.155.78:55555/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://122.234.155.78:55555/rtp/233.50.202.104:5140$浙江电信
浙江卫视,http://183.161.175.179:7000/rtp/238.1.78.164:7184$安徽电信
江苏卫视,http://112.226.186.244:1025/rtp/239.253.254.83:8000$山东联通
江苏卫视,http://123.120.240.126:4022/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://123.155.17.197:8888/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://123.155.17.197:8888/rtp/233.50.200.144:5140$浙江电信
江苏卫视,http://58.48.104.87:8989/rtp/239.254.96.144:8938$湖北电信
江苏卫视,http://180.140.153.3:4022/rtp/239.81.0.106:4056$广西电信
江苏卫视,http://222.95.12.2:4022/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://182.123.208.170:12345/rtp/225.1.4.83:1112$河南联通
江苏卫视,http://122.234.155.78:55555/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://122.234.155.78:55555/rtp/233.50.200.144:5140$浙江电信
江苏卫视,http://183.161.175.179:7000/rtp/238.1.78.165:7192$安徽电信
东方卫视,http://112.226.186.244:1025/rtp/239.253.254.86:8000$山东联通
东方卫视,http://123.120.240.126:4022/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://123.120.240.126:4022/rtp/239.3.1.119:3006$北京市联通
